ShowId,artist,title,album
8,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
9,"Larry Williams","Oh Baby","Bad Boy"
9,"Howlin' Wolf","Who's Been Talkin'","His Best"
9,"James Brown","Lost Someone","Star Time (Box Set)"
9,Beatles,"There's A Place","Please Please Me"
9,Spirit,"Straight Arrow",Spirit
9,Who,Tattoo,"Sell Out"
9,Zombies,"I Love You","The Zombies"
9,"Chuck Berry","You Can't Catch Me","The Anthology"
9,"Paul Revere & The Raiders","Steppin' Out","Greatest Hits"
9,"John Lee Hooker","It Serves You Right To Suffer","The Very Best of John Lee Hooker"
9,Animals,"Blue Feeling","The Singles +"
9,"Bob Dylan","You're Gonna Make Me Lonesome When You Go","Blood On The Tracks"
9,"Buffalo Springfield","Rock And Roll Woman","Buffalo Springfield Again"
9,"Muddy Waters","Rollin' Stone","The Anthology 1947-1972"
9,"Lightnin' Hopkins","Green Onion (live)","Swarthmore Concert"
9,"J.J. Cale","Anyway The Wind Blows","Anyway The Wind Blows - The Anthology"
9,"Little Richard","Miss Ann","The Essential"
9,"Marvin Gaye","One More Heartache","The Ultimate Collection"
9,"Mary Wells","You Beat Me To The Punch","The In Crowd: The Ultimate Mod Collection From The Original Artifacts 1958-1967"
9,"Lonesome Sundown","Don't Go","I'm A Mojo Man"
9,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
10,"Lucinda Williams","Can't Let Go","Car Wheels On A Gravel Road"
10,"Charlie Rich","Mohair Sam","Feel Like Going Home: The Essential Charlie Rich"
10,"Roy Orbison",Uptown,"The All Time Greatest Hits Of Roy Orbison"
10,Searchers,"Bumble Bee","The Very Best of The Searchers"
10,Shangri-Las,"Give Him A Great Big Kiss","The Best of The Shangri-Las"
10,"Jerry Lee Lewis","Big Legged Woman","The Complete Palomino Club Recordings"
10,"Traveling Wilburys","If You Belonged To Me","Vol. 3"
10,"Traveling Wilburys","Poor House","Vol. 3"
10,"Wilson Pickett","I'm In Love","Greatest Hits"
10,Yardbirds,"I'm Not Talking",Ultimate!
10,"Little Richard","Ready Teddy","The Essential"
10,"Paul Revere & The Raiders","Just Like Me","Greatest Hits"
10,Traffic,"Forty Thousand Headmen",Traffic
10,"Tommy Roe",Sheila,"Greatest Hits"
10,"Johnny Cash (with Tom Petty & The Heartbreakers)","The Running Kind",Unearthed
10,"Dick Dale & His Del-Tones",Misirlou,"Music From The Motion Picture Pulp Fiction"
10,"Dusty Springfield","Within' And Hopin'","The Best of Dusty Springfield"
10,"Elvis Presley","Girl Next Door Went A' Walking","Elvis Is Back!"
10,"Eric Burdon & The Animals","See See Rider","The Best of Eric Burdon & The Animals 1966-1968"
10,"James Brown",Bodyheat,"40th Anniversary Collection"
10,Quik,"Bert's Apple Crumble","The In Crowd: The Ultimate Mod Collection From The Original Style Movement 1958-1967"
11,Stooges,1969,"The Stooges"
11,"J.J. Cale","Rock And Roll Records","Anyway The Wind Blows - The Anthology"
